OBJECTID,GEOID,NAME,Total_Population,White_Total,Black_Total,AmerInd_AlaskaNat_Total,Asian_Total,NatHawaii_OthPI_Total,Some_Other_Race_Total,Two_or_More_Races_Total,WhiteNH_Total,POC_Total,Total_Under_18,White_Under_18,Black_Under_18,AmerInd_AlaskaNat_Under_18,Asian_Under_18,NatHawaii_OthPI_Under_18,Some_Other_Race_Under_18,Two_or_More_Races_Under_18,WhiteNH_Under_18,POC_Under_18,Total_65_and_Over,White_65_and_Over,Black_65_and_Over,AmerInd_AlaskaNat_65_and_Over,Asian_65_and_Over,NatHawaii_OthPI_65_and_Over,Some_Other_Race_65_and_Over,Two_or_More_Races_65_and_Over,WhiteNH_65_and_Over,POC_65_and_Over,Total_18_to_64,White_18_to_64,Black_18_to_64,AmerInd_AlaskaNat_18_to_64,Asian_18_to_64,NatHawaii_OthPI_18_to_64,Some_Other_Race_18_to_64,Two_or_More_Races_18_to_64,WhiteNH_18_to_64,POC_18_to_64,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
1,53033000100,"Census Tract 1, King County, Washington",5784,3852,436,83,710,11,412,280,3330,2454,730,437,58,0,93,0,112,30,307,423,467,382,0,0,85,0,0,0,359,108,4587,3033,378,83,532,11,300,250,2664,1923,5Y10,1,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
2,53033000200,"Census Tract 2, King County, Washington",7682,5929,181,32,1017,139,138,246,5383,2299,1257,936,5,5,141,70,0,100,737,520,1066,872,28,0,110,39,0,17,872,194,5359,4121,148,27,766,30,138,129,3774,1585,5Y10,2,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park"
3,53033000300,"Census Tract 3, King County, Washington",2548,1967,27,17,406,0,30,101,1856,692,417,268,0,0,112,0,10,27,206,211,311,207,0,17,80,0,0,7,207,104,1820,1492,27,0,214,0,20,67,1443,377,5Y10,3,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst"
4,53033000401,"Census Tract 4.01, King County, Washington",5805,3801,626,178,664,65,93,378,3607,2198,807,389,166,0,72,0,0,180,317,490,1081,777,86,0,200,0,18,0,777,304,3917,2635,374,178,392,65,75,198,2513,1404,5Y10,4.01,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake"
5,53033000402,"Census Tract 4.02, King County, Washington",4662,3648,355,131,192,48,16,272,3495,1167,814,525,82,48,16,26,0,117,495,319,1217,1054,78,32,26,0,0,27,1042,175,2631,2069,195,51,150,22,16,128,1958,673,5Y10,4.02,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake"
6,53033000500,"Census Tract 5, King County, Washington",3474,2857,24,16,421,0,26,130,2788,686,674,537,12,0,86,0,0,39,504,170,580,546,0,0,34,0,0,0,534,46,2220,1774,12,16,301,0,26,91,1750,470,5Y10,5,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake"
7,53033000600,"Census Tract 6, King County, Washington",7235,4354,827,19,1436,138,122,339,4008,3227,995,556,153,0,201,39,0,46,425,570,1377,1165,14,0,151,0,0,47,1146,231,4863,2633,660,19,1084,99,122,246,2437,2426,5Y10,6,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst"
8,53033000700,"Census Tract 7, King County, Washington",4643,2876,584,0,1031,0,50,102,2753,1890,598,376,73,0,119,0,16,14,376,222,357,257,0,0,88,0,0,12,257,100,3688,2243,511,0,824,0,34,76,2120,1568,5Y10,7,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park"
9,53033000800,"Census Tract 8, King County, Washington",2986,2342,117,0,379,0,10,138,2334,652,566,316,76,0,99,0,0,75,316,250,463,429,16,0,18,0,0,0,429,34,1957,1597,25,0,262,0,10,63,1589,368,5Y10,8,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
10,53033000900,"Census Tract 9, King County, Washington",2025,1742,0,0,153,0,0,130,1645,380,428,342,0,0,25,0,0,61,294,134,283,283,0,0,0,0,0,0,283,0,1314,1117,0,0,128,0,0,69,1068,246,5Y10,9,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
11,53033001000,"Census Tract 10, King County, Washington",1702,1279,92,14,194,0,123,0,1234,468,445,315,50,0,41,0,39,0,315,130,120,111,0,0,9,0,0,0,81,39,1137,853,42,14,144,0,84,0,838,299,5Y10,10,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
12,53033001100,"Census Tract 11, King County, Washington",2573,1876,138,0,329,0,79,151,1842,731,384,287,0,0,19,0,10,68,287,97,238,219,0,0,19,0,0,0,219,19,1951,1370,138,0,291,0,69,83,1336,615,5Y10,11,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park"
13,53033001200,"Census Tract 12, King County, Washington",5753,3617,332,263,1213,18,83,227,3314,2439,650,243,45,112,185,0,0,65,235,415,1008,865,27,20,96,0,0,0,865,143,4095,2509,260,131,932,18,83,162,2214,1881,5Y10,12,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst"
14,53033001300,"Census Tract 13, King County, Washington",4376,2684,574,33,834,15,143,93,2429,1947,686,415,150,0,75,0,17,29,370,316,445,194,83,0,123,0,45,0,194,251,3245,2075,341,33,636,15,81,64,1865,1380,5Y10,13,Seattle,9.2,9,Licton Springs,Licton Springs
15,53033001400,"Census Tract 14, King County, Washington",4799,3838,108,39,148,89,60,517,3678,1121,861,553,43,0,26,30,0,209,481,380,509,427,19,13,50,0,0,0,427,82,3429,2858,46,26,72,59,60,308,2770,659,5Y10,14,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge"
16,53033001500,"Census Tract 15, King County, Washington",2463,2327,0,9,98,0,9,20,2305,158,461,449,0,0,0,0,0,12,449,12,256,215,0,0,41,0,0,0,215,41,1746,1663,0,9,57,0,9,8,1641,105,5Y10,15,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge"
17,53033001600,"Census Tract 16, King County, Washington",4271,3718,22,41,240,0,21,229,3657,614,855,684,9,9,29,0,0,124,684,171,673,654,13,0,6,0,0,0,654,19,2743,2380,0,32,205,0,21,105,2319,424,5Y10,16,Seattle,10.1,10,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge"
18,53033001701,"Census Tract 17.01, King County, Washington",3615,2122,333,81,559,0,204,316,2085,1530,536,196,163,37,0,0,48,92,196,340,186,121,17,0,48,0,0,0,121,65,2893,1805,153,44,511,0,156,224,1768,1125,5Y10,17.01,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
19,53033001702,"Census Tract 17.02, King County, Washington",4782,3295,250,63,468,0,344,362,3136,1646,674,233,68,21,73,0,40,239,180,494,668,643,0,17,0,0,0,8,643,25,3440,2419,182,25,395,0,304,115,2313,1127,5Y10,17.02,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
20,53033001800,"Census Tract 18, King County, Washington",4219,3351,55,11,347,0,86,369,3240,979,458,375,0,0,0,0,0,83,324,134,166,152,0,0,14,0,0,0,152,14,3595,2824,55,11,333,0,86,286,2764,831,5Y10,18,Seattle,9.2,9,Licton Springs,Licton Springs
21,53033001900,"Census Tract 19, King County, Washington",3622,2828,178,0,256,50,118,192,2694,928,544,415,0,0,11,0,0,118,380,164,338,335,0,0,3,0,0,0,335,3,2740,2078,178,0,242,50,118,74,1979,761,5Y10,19,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst"
22,53033002000,"Census Tract 20, King County, Washington",3403,2743,40,0,287,51,114,168,2687,716,515,335,18,0,58,0,22,82,321,194,374,339,0,0,35,0,0,0,339,35,2514,2069,22,0,194,51,92,86,2027,487,5Y10,20,Seattle,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst"
23,53033002100,"Census Tract 21, King County, Washington",3482,2546,260,53,387,0,130,106,2445,1037,644,408,22,23,97,0,75,19,374,270,399,307,92,0,0,0,0,0,307,92,2439,1831,146,30,290,0,55,87,1764,675,5Y10,21,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
24,53033002200,"Census Tract 22, King County, Washington",5321,4274,103,0,644,19,13,268,4228,1093,1154,793,77,0,134,0,0,150,793,361,890,862,0,0,28,0,0,0,862,28,3277,2619,26,0,482,19,13,118,2573,704,5Y10,22,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
25,53033002400,"Census Tract 24, King County, Washington",2859,2346,10,0,336,6,12,149,2312,547,676,530,7,0,61,6,0,72,513,163,312,262,0,0,50,0,0,0,262,50,1871,1554,3,0,225,0,12,77,1537,334,5Y10,24,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
26,53033002500,"Census Tract 25, King County, Washington",2957,2313,121,29,339,0,43,112,2300,657,508,357,23,11,46,0,25,46,344,164,288,243,0,0,45,0,0,0,243,45,2161,1713,98,18,248,0,18,66,1713,448,5Y10,25,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
27,53033002600,"Census Tract 26, King County, Washington",4456,3779,52,0,392,0,10,223,3679,777,884,733,12,0,33,0,0,106,694,190,394,284,26,0,35,0,0,49,270,124,3178,2762,14,0,324,0,10,68,2715,463,5Y10,26,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
28,53033002700,"Census Tract 27, King County, Washington",4877,3937,46,0,696,0,24,174,3740,1137,685,554,0,0,51,0,0,80,526,159,371,347,0,0,24,0,0,0,313,58,3821,3036,46,0,621,0,24,94,2901,920,5Y10,27,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park"
29,53033002800,"Census Tract 28, King County, Washington",4008,3309,33,59,259,13,43,292,3253,755,672,456,0,0,0,13,0,203,456,216,257,203,0,0,36,0,0,18,203,54,3079,2650,33,59,223,0,43,71,2594,485,5Y10,28,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
30,53033002900,"Census Tract 29, King County, Washington",4117,3713,16,0,132,0,116,140,3572,545,722,638,0,0,13,0,0,71,618,104,253,253,0,0,0,0,0,0,253,0,3142,2822,16,0,119,0,116,69,2701,441,5Y10,29,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
31,53033003000,"Census Tract 30, King County, Washington",5578,5186,0,0,199,0,58,135,4948,630,1119,1002,0,0,0,0,19,98,929,190,402,402,0,0,0,0,0,0,402,0,4057,3782,0,0,199,0,39,37,3617,440,5Y10,30,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill"
32,53033003100,"Census Tract 31, King County, Washington",6159,5609,0,0,74,0,117,359,5494,665,1316,1100,0,0,26,0,0,190,1047,269,671,605,0,0,0,0,0,66,605,66,4172,3904,0,0,48,0,117,103,3842,330,5Y10,31,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole"
33,53033003200,"Census Tract 32, King County, Washington",7178,6379,34,36,267,0,80,382,6198,980,979,805,0,0,32,0,0,142,705,274,971,917,0,0,23,0,15,16,892,79,5228,4657,34,36,212,0,65,224,4601,627,5Y10,32,Seattle,10.3,10,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole"
34,53033003300,"Census Tract 33, King County, Washington",6080,5242,224,78,225,0,0,311,5103,977,951,693,107,0,54,0,0,97,650,301,322,300,0,0,22,0,0,0,288,34,4807,4249,117,78,149,0,0,214,4165,642,5Y10,33,Seattle,10.2,10,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill"
35,53033003400,"Census Tract 34, King County, Washington",3334,2988,0,0,139,0,45,162,2901,433,658,509,0,0,18,0,28,103,487,171,201,171,0,0,30,0,0,0,142,59,2475,2308,0,0,91,0,17,59,2272,203,5Y10,34,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
36,53033003500,"Census Tract 35, King County, Washington",3906,3402,36,29,173,0,157,109,3319,587,648,517,11,0,26,0,57,37,517,131,437,405,0,0,32,0,0,0,393,44,2821,2480,25,29,115,0,100,72,2409,412,5Y10,35,Seattle,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill"
37,53033003600,"Census Tract 36, King County, Washington",5198,4473,83,0,413,0,33,196,4403,795,519,472,0,0,0,0,0,47,472,47,703,606,0,0,80,0,17,0,598,105,3976,3395,83,0,333,0,16,149,3333,643,5Y10,36,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park"
38,53033003800,"Census Tract 38, King County, Washington",1966,1622,25,0,171,0,8,140,1622,344,426,320,0,0,20,0,0,86,320,106,196,131,11,0,54,0,0,0,131,65,1344,1171,14,0,97,0,8,54,1171,173,5Y10,38,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
39,53033003900,"Census Tract 39, King County, Washington",2852,2290,58,0,426,0,0,78,2161,691,687,521,0,0,139,0,0,27,491,196,399,371,0,0,28,0,0,0,371,28,1766,1398,58,0,259,0,0,51,1299,467,5Y10,39,Seattle,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach"
40,53033004000,"Census Tract 40, King County, Washington",2903,2052,222,14,370,52,0,193,2000,903,543,342,21,0,79,12,0,89,342,201,456,416,0,0,40,0,0,0,416,40,1904,1294,201,14,251,40,0,104,1242,662,5Y10,40,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park"
41,53033004100,"Census Tract 41, King County, Washington",7992,6703,0,71,866,0,0,352,6662,1330,1945,1656,0,0,131,0,0,158,1639,306,918,784,0,0,121,0,0,13,784,134,5129,4263,0,71,614,0,0,181,4239,890,5Y10,41,Seattle,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park"
42,53033004200,"Census Tract 42, King County, Washington",7887,6526,60,11,825,51,68,346,6482,1405,1515,1214,12,0,69,0,34,186,1198,317,933,851,0,0,48,24,0,10,851,82,5439,4461,48,11,708,27,34,150,4433,1006,5Y10,42,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
43,53033004301,"Census Tract 43.01, King County, Washington",3845,2932,0,0,528,0,49,336,2910,935,604,502,0,0,38,0,26,38,502,102,371,331,0,0,12,0,0,28,331,40,2870,2099,0,0,478,0,23,270,2077,793,5Y10,43.01,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
44,53033004302,"Census Tract 43.02, King County, Washington",3140,2386,175,0,324,18,25,212,2295,845,85,17,60,0,8,0,0,0,17,68,155,155,0,0,0,0,0,0,155,0,2900,2214,115,0,316,18,25,212,2123,777,5Y10,43.02,Seattle,7.3,7,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District"
45,53033004400,"Census Tract 44, King County, Washington",6387,5192,117,39,649,16,17,357,5038,1349,505,385,0,12,0,0,0,108,385,120,247,236,0,0,11,0,0,0,236,11,5635,4571,117,27,638,16,17,249,4417,1218,5Y10,44,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna"
46,53033004500,"Census Tract 45, King County, Washington",2782,2560,0,9,135,0,0,78,2361,421,319,284,0,0,24,0,0,11,234,85,96,96,0,0,0,0,0,0,96,0,2367,2180,0,9,111,0,0,67,2031,336,5Y10,45,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
47,53033004600,"Census Tract 46, King County, Washington",3079,2618,38,0,328,0,0,95,2541,538,484,433,0,0,37,0,0,14,433,51,208,177,0,0,31,0,0,0,149,59,2387,2008,38,0,260,0,0,81,1959,428,5Y10,46,Seattle,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park"
48,53033004700,"Census Tract 47, King County, Washington",5764,4798,100,91,368,24,163,220,4591,1173,401,321,20,0,14,0,0,46,289,112,572,489,0,0,32,0,35,16,489,83,4791,3988,80,91,322,24,128,158,3813,978,5Y10,47,Seattle,10.4,10,Ballard,"Ballard, West Woodland, Adams"
49,53033004800,"Census Tract 48, King County, Washington",4597,4128,161,13,206,0,26,63,3971,626,750,625,85,0,0,0,0,40,592,158,314,247,12,0,55,0,0,0,247,67,3533,3256,64,13,151,0,26,23,3132,401,5Y10,48,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake"
50,53033004900,"Census Tract 49, King County, Washington",5736,5079,68,0,238,0,29,322,4930,806,371,277,0,0,0,0,0,94,262,109,283,234,0,0,10,0,12,27,234,49,5082,4568,68,0,228,0,17,201,4434,648,5Y10,49,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake"
51,53033005000,"Census Tract 50, King County, Washington",4313,3541,284,0,226,0,0,262,3541,772,451,321,98,0,9,0,0,23,321,130,307,271,0,0,0,0,0,36,271,36,3555,2949,186,0,217,0,0,203,2949,606,5Y10,50,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
52,53033005100,"Census Tract 51, King County, Washington",3437,2984,0,12,251,0,34,156,2916,521,581,452,0,0,31,0,11,87,431,150,260,240,0,0,20,0,0,0,240,20,2596,2292,0,12,200,0,23,69,2245,351,5Y10,51,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
53,53033005200,"Census Tract 52, King County, Washington",6347,4209,181,100,1320,51,152,334,3946,2401,444,382,18,0,0,0,0,44,297,147,258,258,0,0,0,0,0,0,258,0,5645,3569,163,100,1320,51,152,290,3391,2254,5Y10,52,Seattle,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District"
54,53033005301,"Census Tract 53.01, King County, Washington",7011,4744,212,29,1530,0,165,331,4638,2373,61,25,0,0,0,0,0,36,25,36,199,185,14,0,0,0,0,0,185,14,6751,4534,198,29,1530,0,165,295,4428,2323,5Y10,53.01,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna"
55,53033005302,"Census Tract 53.02, King County, Washington",5392,3032,148,48,1668,0,64,432,2960,2432,42,10,0,0,32,0,0,0,10,32,9,0,0,0,9,0,0,0,0,9,5341,3022,148,48,1627,0,64,432,2950,2391,5Y10,53.02,Seattle,7.2,7,University District,"University District, Cowen Park, Ravenna"
56,53033005400,"Census Tract 54, King County, Washington",4238,3688,14,0,336,0,54,146,3595,643,431,305,0,0,32,0,24,70,274,157,120,94,0,0,26,0,0,0,94,26,3687,3289,14,0,278,0,30,76,3227,460,5Y10,54,Seattle,11.1,11,Fremont,"Fremont, Wallingford, Northlake"
57,53033005600,"Census Tract 56, King County, Washington",6430,6230,45,0,90,31,0,34,5859,571,1517,1471,30,0,0,16,0,0,1290,227,983,958,0,0,25,0,0,0,958,25,3930,3801,15,0,65,15,0,34,3611,319,5Y10,56,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park"
58,53033005700,"Census Tract 57, King County, Washington",6388,5489,0,95,687,0,0,117,5356,1032,1327,1075,0,0,236,0,0,16,1014,313,753,691,0,13,49,0,0,0,681,72,4308,3723,0,82,402,0,0,101,3661,647,5Y10,57,Seattle,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park"
59,53033005801,"Census Tract 58.01, King County, Washington",4946,4190,136,60,247,0,58,255,4140,806,624,491,0,14,32,0,0,87,491,133,417,389,14,14,0,0,0,0,389,28,3905,3310,122,32,215,0,58,168,3260,645,5Y10,58.01,Seattle,12.2,12,Interbay,Interbay
60,53033005802,"Census Tract 58.02, King County, Washington",4411,3636,71,15,584,0,46,59,3526,885,497,381,0,0,116,0,0,0,352,145,535,496,13,0,26,0,0,0,496,39,3379,2759,58,15,442,0,46,59,2678,701,5Y10,58.02,Seattle,12.2,12,Interbay,Interbay
61,53033005900,"Census Tract 59, King County, Washington",7188,6320,83,0,396,0,44,345,6181,1007,827,657,0,0,75,0,7,88,657,170,528,528,0,0,0,0,0,0,513,15,5833,5135,83,0,321,0,37,257,5011,822,5Y10,59,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
62,53033006000,"Census Tract 60, King County, Washington",4750,4005,72,0,413,0,69,191,3913,837,646,521,0,0,105,0,0,20,499,147,732,713,19,0,0,0,0,0,713,19,3372,2771,53,0,308,0,69,171,2701,671,5Y10,60,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
63,53033006100,"Census Tract 61, King County, Washington",4794,4186,92,0,365,0,0,151,4144,650,282,252,0,0,30,0,0,0,252,30,515,469,0,0,46,0,0,0,469,46,3997,3465,92,0,289,0,0,151,3423,574,5Y10,61,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park"
64,53033006200,"Census Tract 62, King County, Washington",4195,3677,172,0,157,0,0,189,3589,606,861,691,27,0,33,0,0,110,680,181,450,402,11,0,26,0,0,11,381,69,2884,2584,134,0,98,0,0,68,2528,356,5Y10,62,Seattle,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park"
65,53033006300,"Census Tract 63, King County, Washington",5190,4855,103,0,104,0,61,67,4697,493,928,829,31,0,10,0,18,40,801,127,978,978,0,0,0,0,0,0,959,19,3284,3048,72,0,94,0,43,27,2937,347,5Y10,63,Seattle,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine"
66,53033006400,"Census Tract 64, King County, Washington",3322,2885,105,16,188,0,12,116,2831,491,717,629,0,0,31,0,0,57,605,112,339,299,19,0,21,0,0,0,299,40,2266,1957,86,16,136,0,12,59,1927,339,5Y10,64,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens"
67,53033006500,"Census Tract 65, King County, Washington",3798,3180,13,96,372,0,61,76,3054,744,321,261,0,0,53,0,7,0,261,60,329,329,0,0,0,0,0,0,329,0,3148,2590,13,96,319,0,54,76,2464,684,5Y10,65,Seattle,6.3,6,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway"
68,53033006600,"Census Tract 66, King County, Washington",3070,2585,17,93,278,0,45,52,2509,561,102,67,0,0,24,0,0,11,67,35,271,254,17,0,0,0,0,0,254,17,2697,2264,0,93,254,0,45,41,2188,509,5Y10,66,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle"
69,53033006700,"Census Tract 67, King County, Washington",6328,4932,175,34,801,20,107,259,4731,1597,458,306,0,0,104,0,0,48,306,152,626,539,19,21,47,0,0,0,539,87,5244,4087,156,13,650,20,107,211,3886,1358,5Y10,67,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
70,53033006800,"Census Tract 68, King County, Washington",2652,2433,0,0,110,0,21,88,2391,261,554,481,0,0,30,0,0,43,472,82,197,197,0,0,0,0,0,0,197,0,1901,1755,0,0,80,0,21,45,1722,179,5Y10,68,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
71,53033006900,"Census Tract 69, King County, Washington",3965,3335,102,26,148,0,73,281,3301,664,732,563,0,0,0,0,0,169,563,169,306,306,0,0,0,0,0,0,306,0,2927,2466,102,26,148,0,73,112,2432,495,5Y10,69,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
72,53033007000,"Census Tract 70, King County, Washington",6993,5859,155,155,329,0,146,349,5566,1427,322,219,0,61,0,0,0,42,185,137,846,789,0,0,57,0,0,0,789,57,5825,4851,155,94,272,0,146,307,4592,1233,5Y10,70,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
73,53033007100,"Census Tract 71, King County, Washington",2521,2122,66,0,186,0,96,51,2071,450,46,10,0,0,0,0,36,0,10,36,194,185,0,0,9,0,0,0,185,9,2281,1927,66,0,177,0,60,51,1876,405,5Y10,71,Seattle,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake"
74,53033007200,"Census Tract 72, King County, Washington",3867,2787,296,25,645,0,55,59,2592,1275,0,0,0,0,0,0,0,0,0,0,248,157,19,0,61,0,11,0,125,123,3619,2630,277,25,584,0,44,59,2467,1152,5Y10,72,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle"
75,53033007300,"Census Tract 73, King County, Washington",3463,2349,336,45,258,0,271,204,2236,1227,197,33,63,0,0,0,101,0,33,164,242,237,5,0,0,0,0,0,237,5,3024,2079,268,45,258,0,170,204,1966,1058,5Y10,73,Seattle,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle"
76,53033007401,"Census Tract 74.01, King County, Washington",3823,3156,91,77,315,0,71,113,2915,908,61,61,0,0,0,0,0,0,30,31,191,179,12,0,0,0,0,0,179,12,3571,2916,79,77,315,0,71,113,2706,865,5Y10,74.01,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
77,53033007402,"Census Tract 74.02, King County, Washington",5161,3618,565,66,460,0,78,374,3383,1778,192,26,153,0,0,0,0,13,26,166,98,63,0,21,0,0,0,14,63,35,4871,3529,412,45,460,0,78,347,3294,1577,5Y10,74.02,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
78,53033007500,"Census Tract 75, King County, Washington",5947,5129,175,112,331,0,28,172,4907,1040,289,195,27,0,0,0,0,67,176,113,235,219,16,0,0,0,0,0,219,16,5423,4715,132,112,331,0,28,105,4512,911,5Y10,75,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
79,53033007600,"Census Tract 76, King County, Washington",3608,2737,460,0,240,0,30,141,2514,1094,503,264,203,0,23,0,0,13,210,293,203,101,55,0,34,0,0,13,88,115,2902,2372,202,0,183,0,30,115,2216,686,5Y10,76,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens"
80,53033007700,"Census Tract 77, King County, Washington",3947,2842,701,0,125,0,209,70,2712,1235,632,451,107,0,0,0,74,0,425,207,288,141,147,0,0,0,0,0,141,147,3027,2250,447,0,125,0,135,70,2146,881,5Y10,77,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park"
