OBJECTID,GEOID,NAME,Total_Population,White_Total,Black_Total,AmerInd_AlaskaNat_Total,Asian_Total,NatHawaii_OthPI_Total,Some_Other_Race_Total,Two_or_More_Races_Total,WhiteNH_Total,POC_Total,Total_Under_18,White_Under_18,Black_Under_18,AmerInd_AlaskaNat_Under_18,Asian_Under_18,NatHawaii_OthPI_Under_18,Some_Other_Race_Under_18,Two_or_More_Races_Under_18,WhiteNH_Under_18,POC_Under_18,Total_65_and_Over,White_65_and_Over,Black_65_and_Over,AmerInd_AlaskaNat_65_and_Over,Asian_65_and_Over,NatHawaii_OthPI_65_and_Over,Some_Other_Race_65_and_Over,Two_or_More_Races_65_and_Over,WhiteNH_65_and_Over,POC_65_and_Over,Total_18_to_64,White_18_to_64,Black_18_to_64,AmerInd_AlaskaNat_18_to_64,Asian_18_to_64,NatHawaii_OthPI_18_to_64,Some_Other_Race_18_to_64,Two_or_More_Races_18_to_64,WhiteNH_18_to_64,POC_18_to_64,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
1109,53033027500,"Census Tract 275, King County, Washington",4697,2501,196,37,933,3,718,309,2268,2429,913,321,32,0,227,0,188,145,218,695,774,619,32,0,86,3,30,4,619,155,3010,1561,132,37,620,0,500,160,1431,1579,5Y20,275,King County Balance,,,,
1110,53033027600,"Census Tract 276, King County, Washington",4512,2332,426,113,149,0,1350,142,2179,2333,951,373,96,25,34,0,416,7,323,628,579,428,71,0,32,0,0,48,416,163,2982,1531,259,88,83,0,934,87,1440,1542,5Y20,276,King County Balance,,,,
1111,53033027701,"Census Tract 277.01, King County, Washington",5593,5051,3,1,38,115,48,337,4727,866,1059,914,0,0,0,0,0,145,735,324,1264,1235,0,1,20,0,0,8,1235,29,3270,2902,3,0,18,115,48,184,2757,513,5Y20,277.01,King County Balance,,,,
1112,53033027702,"Census Tract 277.02, King County, Washington",4807,4586,1,1,69,0,19,131,4549,258,701,682,0,0,0,0,0,19,682,19,1611,1554,0,0,55,0,0,2,1554,57,2495,2350,1,1,14,0,19,110,2313,182,5Y20,277.02,King County Balance,,,,
1113,53033027800,"Census Tract 278, King County, Washington",3459,3155,14,0,121,0,58,111,3113,346,586,570,0,0,0,0,0,16,550,36,912,855,4,0,52,0,0,1,855,57,1961,1730,10,0,69,0,58,94,1708,253,5Y20,278,King County Balance,,,,
1114,53033027901,"Census Tract 279.01, King County, Washington",4740,3610,45,0,419,0,414,252,3222,1518,1010,644,12,0,72,0,152,130,411,599,626,608,18,0,0,0,0,0,608,18,3104,2358,15,0,347,0,262,122,2203,901,5Y20,279.01,King County Balance,,,,
1115,53033027902,"Census Tract 279.02, King County, Washington",3725,2220,552,14,234,47,303,355,1888,1837,697,274,156,0,45,16,49,157,182,515,728,690,38,0,0,0,0,0,690,38,2300,1256,358,14,189,31,254,198,1016,1284,5Y20,279.02,King County Balance,,,,
1116,53033028000,"Census Tract 280, King County, Washington",4601,1705,1142,37,462,131,842,282,1602,2999,1153,198,407,0,138,11,319,80,160,993,470,316,24,0,60,70,0,0,316,154,2978,1191,711,37,264,50,523,202,1126,1852,5Y20,280,King County Balance,,,,
1117,53033028100,"Census Tract 281, King County, Washington",2894,766,837,61,407,236,369,218,726,2168,688,93,214,20,82,92,122,65,93,595,335,163,18,11,27,5,105,6,155,180,1871,510,605,30,298,139,142,147,478,1393,5Y20,281,King County Balance,,,,
1118,53033028200,"Census Tract 282, King County, Washington",4780,1451,1577,0,702,192,494,364,1317,3463,839,153,349,0,35,26,191,85,118,721,901,336,400,0,139,0,0,26,302,599,3040,962,828,0,528,166,303,253,897,2143,5Y20,282,King County Balance,,,,
1119,53033028300,"Census Tract 283, King County, Washington",5286,2288,628,8,1612,0,241,509,2219,3067,1049,268,248,0,302,0,46,185,232,817,801,534,71,0,176,0,9,11,534,267,3436,1486,309,8,1134,0,186,313,1453,1983,5Y20,283,King County Balance,,,,
1120,53033028402,"Census Tract 284.02, King County, Washington",5495,1748,1477,0,835,155,770,510,1697,3798,1315,279,257,0,104,65,368,242,276,1039,578,395,30,0,84,11,26,32,392,186,3602,1074,1190,0,647,79,376,236,1029,2573,5Y20,284.02,King County Balance,,,,
1121,53033028403,"Census Tract 284.03, King County, Washington",4780,1877,1609,62,413,15,391,413,1766,3014,926,195,427,0,46,0,111,147,166,760,864,777,14,40,1,0,0,32,759,105,2990,905,1168,22,366,15,280,234,841,2149,5Y20,284.03,King County Balance,,,,
1122,53033028500,"Census Tract 285, King County, Washington",4382,1795,396,0,714,0,627,850,1482,2900,1071,225,115,0,146,0,156,429,123,948,381,287,0,0,47,0,47,0,263,118,2930,1283,281,0,521,0,424,421,1096,1834,5Y20,285,King County Balance,,,,
1123,53033028600,"Census Tract 286, King County, Washington",6413,5312,91,0,403,0,186,421,5145,1268,1179,815,0,0,64,0,90,210,770,409,1615,1446,36,0,97,0,16,20,1399,216,3619,3051,55,0,242,0,80,191,2976,643,5Y20,286,King County Balance,,,,
1124,53033028700,"Census Tract 287, King County, Washington",5541,3557,353,75,923,6,175,452,3321,2220,1213,648,102,16,238,0,41,168,550,663,797,657,6,0,84,0,0,50,643,154,3531,2252,245,59,601,6,134,234,2128,1403,5Y20,287,King County Balance,,,,
1125,53033028801,"Census Tract 288.01, King County, Washington",3457,2249,392,117,154,27,249,269,1699,1758,563,326,28,7,9,0,94,99,227,336,603,478,83,0,10,0,3,29,455,148,2291,1445,281,110,135,27,152,141,1017,1274,5Y20,288.01,King County Balance,,,,
1126,53033028802,"Census Tract 288.02, King County, Washington",7390,2296,2152,0,597,418,1598,329,2036,5354,2362,488,822,0,75,159,661,157,415,1947,703,557,108,0,38,0,0,0,472,231,4325,1251,1222,0,484,259,937,172,1149,3176,5Y20,288.02,King County Balance,,,,
1127,53033028901,"Census Tract 289.01, King County, Washington",3490,2331,141,14,183,151,536,134,2249,1241,680,261,30,0,0,60,279,50,261,419,724,643,10,0,61,0,0,10,619,105,2086,1427,101,14,122,91,257,74,1369,717,5Y20,289.01,King County Balance,,,,
1128,53033028902,"Census Tract 289.02, King County, Washington",6610,1822,1051,11,376,757,1827,766,1786,4824,1533,205,261,0,39,218,636,174,205,1328,559,451,73,0,2,2,0,31,436,123,4518,1166,717,11,335,537,1191,561,1145,3373,5Y20,289.02,King County Balance,,,,
1129,53033029001,"Census Tract 290.01, King County, Washington",4578,3340,188,0,436,55,253,306,3144,1434,826,379,118,0,123,0,83,123,279,547,1405,1364,0,0,41,0,0,0,1364,41,2347,1597,70,0,272,55,170,183,1501,846,5Y20,290.01,King County Balance,,,,
